Year,Month,Equity_Net_Cr,Debt_Net_Cr,Total_Net_Cr,Source
2020,December,62016.0,-1800.0,60336.0,NSDL
2021,January,19473.0,1200.0,20593.0,NSDL
2021,February,25788.0,-1800.0,24138.0,NSDL
2021,March,11674.0,2400.0,13874.0,NSDL
2021,April,-9660.0,-900.0,-10440.0,NSDL
2021,May,-2954.0,1500.0,-1604.0,NSDL
2021,June,-12612.0,3600.0,-8812.0,NSDL
2021,July,-11308.0,-2400.0,-13828.0,NSDL
2021,August,-8776.0,1800.0,-6696.0,NSDL
2021,September,-15253.0,-1200.0,-16653.0,NSDL
2021,October,-12277.0,900.0,-11257.0,NSDL
2021,November,-4285.0,-600.0,-4965.0,NSDL
2021,December,-234.0,1500.0,1466.0,NSDL
2022,January,-33303.0,-2400.0,-34103.0,NSDL
2022,February,-35592.0,1200.0,-34842.0,NSDL
2022,March,-41123.0,3600.0,-37043.0,NSDL
2022,April,-17144.0,-1800.0,-19144.0,NSDL
2022,May,-39993.0,2400.0,-36543.0,NSDL
2022,June,-50203.0,-3600.0,-54323.0,NSDL
2022,July,-6568.0,1800.0,-4288.0,NSDL
2022,August,22025.0,-900.0,21065.0,NSDL
2022,September,-7624.0,2400.0,-4224.0,NSDL
2022,October,-8.0,-1200.0,-1688.0,NSDL
2022,November,36239.0,3000.0,39759.0,NSDL
2022,December,11119.0,-1500.0,9419.0,NSDL
2023,January,-28852.0,1800.0,-24772.0,NSDL
2023,February,-5294.0,-900.0,-4914.0,NSDL
2023,March,7936.0,2400.0,9336.0,NSDL
2023,April,11631.0,3100.0,16651.0,NSDL
2023,May,43838.0,-2200.0,42288.0,NSDL
2023,June,47148.0,1800.0,48028.0,NSDL
2023,July,46618.0,-3400.0,44798.0,NSDL
2023,August,12262.0,2800.0,14612.0,NSDL
2023,September,-14767.0,-1500.0,-14947.0,NSDL
2023,October,-24548.0,3200.0,-22908.0,NSDL
2023,November,9001.0,-800.0,8681.0,NSDL
2023,December,66135.0,1200.0,67275.0,NSDL
2024,January,-25744.0,-3008.0,-19224.0,NSDL
2024,February,1539.0,-558.0,9864.0,NSDL
2024,March,3315.0,-1256.0,18149.0,NSDL
2024,April,-8671.0,5420.0,-6241.0,NSDL
2024,May,-25586.0,3100.0,-23306.0,NSDL
2024,June,26565.0,4200.0,32445.0,NSDL
2024,July,32365.0,-2100.0,36045.0,NSDL
2024,August,7320.0,1800.0,12670.0,NSDL
2024,September,-11789.0,-3400.0,-8529.0,NSDL
2024,October,-94017.0,2100.0,-88097.0,NSDL
2024,November,-22420.0,-1200.0,-23900.0,NSDL
2024,December,-16982.0,1500.0,-14292.0,NSDL
2025,January,-78027.0,-3424.0,-77211.0,NSDL
2025,February,-34574.0,-5508.0,-24301.0,NSDL
2025,March,-3973.0,9711.0,32981.0,NSDL
2025,April,4223.0,-13314.0,-20190.0,NSDL
2025,May,19860.0,19615.0,30950.0,NSDL
2025,June,14590.0,-6121.0,-7563.0,NSDL
2025,July,-17741.0,-234.0,-5538.0,NSDL
2025,August,-34993.0,6766.0,-20505.0,NSDL
2025,September,-23885.0,1085.0,-12539.0,NSDL
2025,October,14610.0,3507.0,35598.0,NSDL
2025,November,-3765.0,-3969.0,2836.0,NSDL
2025,December,-22611.0,717.0,-38568.0,NSDL
2026,January,-35962.0,-7308.0,-29240.0,NSDL
2026,February,22615.0,5380.0,37804.0,NSDL
2026,March,-88180.0,187.0,-103967.0,NSDL
